SQL,Lineage
"CREATE PROCEDURE update_inventory_and_reorder() BEGIN DECLARE done INT DEFAULT FALSE; DECLARE p_id INT; DECLARE p_name VARCHAR(255); DECLARE p_quantity INT; DECLARE p_reorder_level INT; DECLARE p_reorder_quantity INT; DECLARE supplier_id INT; DECLARE cur CURSOR FOR SELECT product_id, product_name, quantity_in_stock, reorder_level, reorder_quantity, preferred_supplier_id FROM products WHERE quantity_in_stock <= reorder_level; DECLARE CONTINUE HANDLER FOR NOT FOUND SET done = TRUE; START TRANSACTION; OPEN cur; read_loop: LOOP FETCH cur INTO p_id, p_name, p_quantity, p_reorder_level, p_reorder_quantity, supplier_id; IF done THEN LEAVE read_loop; END IF; INSERT INTO purchase_orders (supplier_id, order_date, status) VALUES (supplier_id, CURRENT_DATE, 'Pending'); SET @last_po_id = LAST_INSERT_ID(); INSERT INTO purchase_order_details (purchase_order_id, product_id, quantity, unit_price) SELECT @last_po_id, p_id, p_reorder_quantity, unit_price FROM supplier_products WHERE supplier_id = supplier_id AND product_id = p_id; UPDATE products SET quantity_in_stock = quantity_in_stock + p_reorder_quantity, last_reorder_date = CURRENT_DATE WHERE product_id = p_id; INSERT INTO inventory_logs (product_id, change_type, quantity_change, change_date) VALUES (p_id, 'Reorder', p_reorder_quantity, CURRENT_DATE); END LOOP; CLOSE cur; COMMIT; END;","products.product_id -> purchase_order_details; products.product_name -> result; products.quantity_in_stock -> result; products.reorder_level -> result; products.reorder_quantity -> result; products.preferred_supplier_id -> purchase_orders; products.last_reorder_date -> result; supplier_products.supplier_id -> purchase_orders; supplier_products.product_id -> purchase_order_details; supplier_products.unit_price -> purchase_order_details; purchase_orders.supplier_id -> result; purchase_orders.order_date -> result; purchase_orders.status -> result; purchase_order_details.purchase_order_id -> result; purchase_order_details.product_id -> result; purchase_order_details.quantity -> result; purchase_order_details.unit_price -> result; inventory_logs.product_id -> result; inventory_logs.change_type -> result; inventory_logs.quantity_change -> result; inventory_logs.change_date -> result"
"WITH RECURSIVE date_range AS (SELECT CAST(DATE_TRUNC('month', CURRENT_DATE) AS DATE) AS date UNION ALL SELECT date + INTERVAL '1 day' FROM date_range WHERE date < LAST_DAY(CURRENT_DATE)), daily_sales AS (SELECT DATE(o.order_date) AS sale_date, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS daily_revenue FROM orders o JOIN order_details od ON o.order_id = od.order_id WHERE o.order_date >= DATE_TRUNC('month', CURRENT_DATE) AND o.order_date <= CURRENT_DATE GROUP BY DATE(o.order_date)), product_sales AS (SELECT p.product_id, p.product_name, c.category_id, c.category_name, SUM(od.quantity) AS total_quantity, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_revenue FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id WHERE o.order_date >= DATE_TRUNC('month', CURRENT_DATE) AND o.order_date <= CURRENT_DATE GROUP BY p.product_id, p.product_name, c.category_id, c.category_name) SELECT dr.date, COALESCE(ds.daily_revenue, 0) AS daily_revenue, SUM(COALESCE(ds.daily_revenue, 0)) OVER (ORDER BY dr.date) AS cumulative_revenue, (SELECT JSON_OBJECT('top_product', (SELECT product_name FROM product_sales ORDER BY total_revenue DESC LIMIT 1), 'top_category', (SELECT category_name FROM product_sales GROUP BY category_id, category_name ORDER BY SUM(total_revenue) DESC LIMIT 1), 'total_products_sold', (SELECT SUM(total_quantity) FROM product_sales))) AS sales_summary FROM date_range dr LEFT JOIN daily_sales ds ON dr.date = ds.sale_date ORDER BY dr.date;","orders.order_id -> result; orders.order_date -> result; order_details.order_id -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result; order_details.product_id -> result; products.product_id -> result; products.product_name -> result; products.category_id -> result; categories.category_id -> result; categories.category_name -> result"
"CREATE FUNCTION calculate_customer_lifetime_value(customer_id INT) RETURNS DECIMAL(10,2) DETERMINISTIC BEGIN DECLARE total_revenue DECIMAL(10,2); DECLARE avg_order_value DECIMAL(10,2); DECLARE purchase_frequency DECIMAL(10,2); DECLARE customer_value DECIMAL(10,2); DECLARE customer_lifespan INT; DECLARE clv DECIMAL(10,2); SELECT SUM(total_amount) INTO total_revenue FROM orders WHERE customer_id = customer_id; SELECT AVG(total_amount) INTO avg_order_value FROM orders WHERE customer_id = customer_id; SELECT COUNT(*) / NULLIF(DATEDIFF(MAX(order_date), MIN(order_date)) / 365, 0) INTO purchase_frequency FROM orders WHERE customer_id = customer_id; SET customer_value = avg_order_value * purchase_frequency; SELECT DATEDIFF(COALESCE(MAX(order_date), CURDATE()), MIN(order_date)) / 365 INTO customer_lifespan FROM orders WHERE customer_id = customer_id; SET clv = customer_value * customer_lifespan; RETURN COALESCE(clv, 0); END;","orders.customer_id -> result; orders.total_amount -> result; orders.order_date -> result"
"WITH RECURSIVE category_hierarchy AS (SELECT category_id, parent_category_id, category_name, 0 AS level FROM categories WHERE parent_category_id IS NULL UNION ALL SELECT c.category_id, c.parent_category_id, c.category_name, ch.level + 1 FROM categories c JOIN category_hierarchy ch ON c.parent_category_id = ch.category_id), category_sales AS (SELECT c.category_id, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_sales FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN products p ON od.product_id = p.product_id JOIN categories c ON p.category_id = c.category_id WHERE o.order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY c.category_id) SELECT ch.category_id, ch.category_name, ch.level, COALESCE(cs.total_sales, 0) AS total_sales, COALESCE(parent_ch.category_name, 'Root') AS parent_category_name, COALESCE(parent_cs.total_sales, 0) AS parent_total_sales, CASE WHEN parent_cs.total_sales > 0 THEN (cs.total_sales / parent_cs.total_sales) * 100 ELSE 0 END AS percent_of_parent_sales FROM category_hierarchy ch LEFT JOIN category_sales cs ON ch.category_id = cs.category_id LEFT JOIN category_hierarchy parent_ch ON ch.parent_category_id = parent_ch.category_id LEFT JOIN category_sales parent_cs ON ch.parent_category_id = parent_cs.category_id ORDER BY ch.level, total_sales DESC;","categories.category_id -> result; categories.parent_category_id -> category_hierarchy; categories.category_name -> result; orders.order_id -> result; orders.order_date -> result; order_details.order_id -> result; order_details.product_id -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result; products.product_id -> result; products.category_id -> result"
"WITH RECURSIVE employee_hierarchy AS (SELECT employee_id, manager_id, first_name, last_name, salary, 1 AS level FROM employees WHERE manager_id IS NULL UNION ALL SELECT e.employee_id, e.manager_id, e.first_name, e.last_name, e.salary, eh.level + 1 FROM employees e JOIN employee_hierarchy eh ON e.manager_id = eh.employee_id), department_stats AS (SELECT department_id, AVG(salary) AS avg_salary, COUNT(*) AS employee_count FROM employees GROUP BY department_id) SELECT eh.employee_id, eh.first_name, eh.last_name, eh.level, d.department_name, ds.avg_salary, ds.employee_count, eh.salary, (eh.salary - ds.avg_salary) AS salary_difference FROM employee_hierarchy eh JOIN employees e ON eh.employee_id = e.employee_id JOIN departments d ON e.department_id = d.department_id JOIN department_stats ds ON d.department_id = ds.department_id WHERE eh.level <= 3 ORDER BY eh.level, salary_difference DESC;","employees.employee_id -> result; employees.manager_id -> employee_hierarchy; employees.first_name -> result; employees.last_name -> result; employees.salary -> result; employees.department_id -> department_stats; departments.department_name -> result; departments.department_id -> result"
"WITH sales_summary AS (SELECT product_id, customer_id, SUM(quantity) AS total_quantity, SUM(quantity * unit_price * (1 - discount)) AS total_revenue FROM sales GROUP BY product_id, customer_id), customer_ranking AS (SELECT customer_id, SUM(total_revenue) AS customer_total_revenue, RANK() OVER (ORDER BY SUM(total_revenue) DESC) AS customer_rank FROM sales_summary GROUP BY customer_id), product_ranking AS (SELECT product_id, SUM(total_revenue) AS product_total_revenue, RANK() OVER (ORDER BY SUM(total_revenue) DESC) AS product_rank FROM sales_summary GROUP BY product_id) SELECT c.customer_id, c.company_name, cr.customer_total_revenue, cr.customer_rank, p.product_id, p.product_name, pr.product_total_revenue, pr.product_rank, ss.total_quantity, ss.total_revenue FROM sales_summary ss JOIN customers c ON ss.customer_id = c.customer_id JOIN products p ON ss.product_id = p.product_id JOIN customer_ranking cr ON ss.customer_id = cr.customer_id JOIN product_ranking pr ON ss.product_id = pr.product_id WHERE cr.customer_rank <= 10 AND pr.product_rank <= 20 ORDER BY cr.customer_rank, pr.product_rank;","sales.product_id -> sales_summary; sales.customer_id -> sales_summary; sales.quantity -> sales_summary; sales.unit_price -> sales_summary; sales.discount -> sales_summary; customers.customer_id -> result; customers.company_name -> result; products.product_id -> result; products.product_name -> result"
"INSERT INTO order_summary (order_id, customer_id, order_date, total_amount, status) SELECT o.order_id, o.customer_id, o.order_date, (SELECT SUM(quantity * unit_price * (1 - discount)) FROM order_details WHERE order_id = o.order_id) AS total_amount, CASE WHEN o.shipped_date IS NULL THEN 'Pending' WHEN o.shipped_date <= CURRENT_DATE THEN 'Shipped' ELSE 'Processing' END AS status FROM orders o WHERE o.order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 MONTH) AND NOT EXISTS (SELECT 1 FROM order_summary os WHERE os.order_id = o.order_id);","orders.order_id -> order_summary; orders.customer_id -> order_summary; orders.order_date -> order_summary; orders.shipped_date -> order_summary; order_details.quantity -> order_summary; order_details.unit_price -> order_summary; order_details.discount -> order_summary"
"UPDATE employee_performance ep SET performance_score = (SELECT AVG(rating) FROM (SELECT p.rating FROM projects p JOIN employee_projects ep ON p.project_id = ep.project_id WHERE ep.employee_id = ep.employee_id AND p.end_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) UNION ALL SELECT s.score FROM skills_assessment s WHERE s.employee_id = ep.employee_id AND s.assessment_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR)) AS ratings), last_updated = CURRENT_TIMESTAMP WHERE ep.employee_id IN (SELECT employee_id FROM employees WHERE department_id IN (SELECT department_id FROM departments WHERE division_id = (SELECT division_id FROM divisions WHERE division_name = 'Sales')));","projects.rating -> employee_performance; projects.project_id -> employee_performance; projects.end_date -> employee_performance; employee_projects.project_id -> employee_performance; employee_projects.employee_id -> employee_performance; skills_assessment.score -> employee_performance; skills_assessment.employee_id -> employee_performance; skills_assessment.assessment_date -> employee_performance; employees.employee_id -> employee_performance; employees.department_id -> employee_performance; departments.department_id -> employee_performance; departments.division_id -> employee_performance; divisions.division_id -> employee_performance; divisions.division_name -> employee_performance"
"CREATE TABLE product_recommendations AS WITH customer_purchases AS (SELECT customer_id, product_id, SUM(quantity) AS total_quantity FROM orders o JOIN order_details od ON o.order_id = od.order_id WHERE o.order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY customer_id, product_id), product_pairs AS (SELECT cp1.customer_id, cp1.product_id AS product_1, cp2.product_id AS product_2, COUNT(*) AS pair_frequency FROM customer_purchases cp1 JOIN customer_purchases cp2 ON cp1.customer_id = cp2.customer_id AND cp1.product_id < cp2.product_id GROUP BY cp1.customer_id, cp1.product_id, cp2.product_id), product_similarity AS (SELECT product_1, product_2, pair_frequency, pair_frequency / (SELECT COUNT(DISTINCT customer_id) FROM customer_purchases WHERE product_id = product_pairs.product_1) AS similarity_score FROM product_pairs) SELECT ps.product_1 AS base_product_id, p1.product_name AS base_product_name, ps.product_2 AS recommended_product_id, p2.product_name AS recommended_product_name, ps.similarity_score, ROW_NUMBER() OVER (PARTITION BY ps.product_1 ORDER BY ps.similarity_score DESC) AS recommendation_rank FROM product_similarity ps JOIN products p1 ON ps.product_1 = p1.product_id JOIN products p2 ON ps.product_2 = p2.product_id WHERE ps.similarity_score >= 0.1 ORDER BY ps.product_1, ps.similarity_score DESC;","orders.customer_id -> product_recommendations; orders.order_id -> product_recommendations; orders.order_date -> product_recommendations; order_details.order_id -> product_recommendations; order_details.product_id -> product_recommendations; order_details.quantity -> product_recommendations; products.product_id -> product_recommendations; products.product_name -> product_recommendations"
"WITH RECURSIVE category_tree AS (SELECT category_id, parent_category_id, category_name, 0 AS level FROM categories WHERE parent_category_id IS NULL UNION ALL SELECT c.category_id, c.parent_category_id, c.category_name, ct.level + 1 FROM categories c JOIN category_tree ct ON c.parent_category_id = ct.category_id), category_products AS (SELECT c.category_id, COUNT(p.product_id) AS product_count FROM categories c LEFT JOIN products p ON c.category_id = p.category_id GROUP BY c.category_id), category_sales AS (SELECT p.category_id, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS total_sales FROM products p JOIN order_details od ON p.product_id = od.product_id JOIN orders o ON od.order_id = o.order_id WHERE o.order_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY p.category_id) SELECT ct.category_id, ct.category_name, ct.level, COALESCE(cp.product_count, 0) AS product_count, COALESCE(cs.total_sales, 0) AS total_sales, (SELECT category_name FROM category_tree WHERE category_id = ct.parent_category_id) AS parent_category_name FROM category_tree ct LEFT JOIN category_products cp ON ct.category_id = cp.category_id LEFT JOIN category_sales cs ON ct.category_id = cs.category_id ORDER BY ct.level, ct.category_name;","categories.category_id -> result; categories.parent_category_id -> category_tree; categories.category_name -> result; products.product_id -> category_products; products.category_id -> category_products; order_details.quantity -> category_sales; order_details.unit_price -> category_sales; order_details.discount -> category_sales; order_details.product_id -> category_sales; orders.order_id -> category_sales; orders.order_date -> category_sales"
"SELECT e.employee_id, e.first_name, e.last_name, d.department_name, (SELECT AVG(salary) FROM salaries s2 WHERE s2.employee_id IN (SELECT e2.employee_id FROM employees e2 WHERE e2.department_id = e.department_id) AND s2.effective_date <= CURRENT_DATE AND (s2.end_date IS NULL OR s2.end_date > CURRENT_DATE)) AS avg_dept_salary, s.salary, (s.salary - (SELECT AVG(salary) FROM salaries s2 WHERE s2.employee_id IN (SELECT e2.employee_id FROM employees e2 WHERE e2.department_id = e.department_id) AND s2.effective_date <= CURRENT_DATE AND (s2.end_date IS NULL OR s2.end_date > CURRENT_DATE))) AS salary_difference, (SELECT COUNT(*) FROM performance_reviews pr WHERE pr.employee_id = e.employee_id AND pr.review_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR) AND pr.rating >= 4) AS high_performance_count, (SELECT AVG(rating) FROM performance_reviews pr WHERE pr.employee_id = e.employee_id AND pr.review_date >= DATE_SUB(CURRENT_DATE, INTERVAL 2 YEAR)) AS avg_performance_rating FROM employees e JOIN departments d ON e.department_id = d.department_id JOIN salaries s ON e.employee_id = s.employee_id WHERE e.hire_date > (SELECT DATE_SUB(MAX(hire_date), INTERVAL 5 YEAR) FROM employees) AND s.effective_date <= CURRENT_DATE AND (s.end_date IS NULL OR s.end_date > CURRENT_DATE) ORDER BY salary_difference DESC, avg_performance_rating DESC;","employees.employee_id -> result; employees.first_name -> result; employees.last_name -> result; employees.department_id -> result; employees.hire_date -> result; departments.department_name -> result; departments.department_id -> result; salaries.salary -> result; salaries.employee_id -> result; salaries.effective_date -> result; salaries.end_date -> result; performance_reviews.employee_id -> result; performance_reviews.review_date -> result; performance_reviews.rating -> result"
"WITH customer_orders AS (SELECT customer_id, COUNT(*) AS order_count, SUM(total_amount) AS total_spent, AVG(total_amount) AS avg_order_value, MAX(order_date) AS last_order_date FROM orders GROUP BY customer_id), customer_segments AS (SELECT customer_id, CASE WHEN order_count >= 10 AND total_spent >= 5000 THEN 'VIP' WHEN order_count >= 5 AND total_spent >= 2000 THEN 'Regular' WHEN order_count >= 2 AND total_spent >= 500 THEN 'Occasional' ELSE 'New' END AS segment, NTILE(5) OVER (ORDER BY total_spent DESC) AS spending_quintile FROM customer_orders), product_categories AS (SELECT p.product_id, c.category_name, pc.parent_category_id FROM products p JOIN product_categories pc ON p.category_id = pc.category_id JOIN categories c ON pc.category_id = c.category_id), customer_preferences AS (SELECT o.customer_id, pc.category_name, COUNT(*) AS purchase_count, SUM(od.quantity * od.unit_price * (1 - od.discount)) AS category_spent FROM orders o JOIN order_details od ON o.order_id = od.order_id JOIN product_categories pc ON od.product_id = pc.product_id GROUP BY o.customer_id, pc.category_name) SELECT c.customer_id, c.first_name, c.last_name, c.email, co.order_count, co.total_spent, co.avg_order_value, co.last_order_date, cs.segment, cs.spending_quintile, cp.category_name AS preferred_category, cp.purchase_count AS category_purchase_count, cp.category_spent FROM customers c JOIN customer_orders co ON c.customer_id = co.customer_id JOIN customer_segments cs ON c.customer_id = cs.customer_id LEFT JOIN (SELECT customer_id, category_name, purchase_count, category_spent, ROW_NUMBER() OVER (PARTITION BY customer_id ORDER BY category_spent DESC) AS category_rank FROM customer_preferences) cp ON c.customer_id = cp.customer_id AND cp.category_rank = 1 ORDER BY cs.spending_quintile, co.total_spent DESC;","orders.customer_id -> result; orders.order_id -> result; orders.total_amount -> result; orders.order_date -> result; customers.customer_id -> result; customers.first_name -> result; customers.last_name -> result; customers.email -> result; products.product_id -> result; products.category_id -> result; product_categories.category_id -> result; product_categories.parent_category_id -> result; categories.category_id -> result; categories.category_name -> result; order_details.order_id -> result; order_details.product_id -> result; order_details.quantity -> result; order_details.unit_price -> result; order_details.discount -> result"
